week,day,year,month,day_month,day_week,activated_time,appliance
34,237,0,7,24,3,94,10
34,237,0,7,24,3,102,2
34,237,0,7,24,3,104,10
34,237,0,7,24,3,115,8
34,237,0,7,24,3,121,10
34,238,0,7,25,4,40,10
34,238,0,7,25,4,49,10
34,238,0,7,25,4,65,2
34,238,0,7,25,4,65,5
34,238,0,7,25,4,84,10
34,238,0,7,25,4,86,10
34,238,0,7,25,4,96,2
34,238,0,7,25,4,113,10
34,239,0,7,26,5,38,10
34,239,0,7,26,5,46,10
34,239,0,7,26,5,58,10
34,239,0,7,26,5,67,10
34,239,0,7,26,5,97,4
34,239,0,7,26,5,98,6
34,239,0,7,26,5,98,10
34,240,0,7,27,6,37,10
34,240,0,7,27,6,45,10
34,240,0,7,27,6,47,10
34,240,0,7,27,6,50,5
34,240,0,7,27,6,52,10
34,240,0,7,27,6,53,10
34,240,0,7,27,6,58,10
34,240,0,7,27,6,67,10
34,240,0,7,27,6,68,10
34,240,0,7,27,6,85,10
34,240,0,7,27,6,100,8
34,240,0,7,27,6,101,8
34,240,0,7,27,6,102,10
34,240,0,7,27,6,103,10
34,240,0,7,27,6,112,10
35,241,0,7,28,0,39,10
35,241,0,7,28,0,48,10
35,241,0,7,28,0,54,10
35,241,0,7,28,0,106,10
35,241,0,7,28,0,121,10
35,242,0,7,29,1,39,10
35,242,0,7,29,1,48,5
35,242,0,7,29,1,53,5
35,242,0,7,29,1,66,10
35,242,0,7,29,1,69,10
35,242,0,7,29,1,77,10
35,242,0,7,29,1,96,2
35,242,0,7,29,1,110,10
35,242,0,7,29,1,113,8
35,242,0,7,29,1,118,10
35,243,0,7,30,2,35,10
35,243,0,7,30,2,41,10
35,243,0,7,30,2,54,2
35,243,0,7,30,2,54,10
35,243,0,7,30,2,60,10
35,243,0,7,30,2,72,2
35,243,0,7,30,2,72,10
35,243,0,7,30,2,92,10
35,243,0,7,30,2,99,4
35,243,0,7,30,2,100,4
35,243,0,7,30,2,101,4
35,243,0,7,30,2,102,4
35,243,0,7,30,2,118,10
35,244,0,8,0,3,39,10
35,244,0,8,0,3,50,10
35,244,0,8,0,3,58,5
35,244,0,8,0,3,65,10
35,244,0,8,0,3,76,10
35,244,0,8,0,3,99,4
35,244,0,8,0,3,100,4
35,244,0,8,0,3,101,4
35,244,0,8,0,3,102,4
35,244,0,8,0,3,119,10
35,245,0,8,1,4,38,10
35,245,0,8,1,4,44,10
35,245,0,8,1,4,49,10
35,245,0,8,1,4,79,10
35,245,0,8,1,4,87,10
35,245,0,8,1,4,99,2
35,245,0,8,1,4,99,10
35,245,0,8,1,4,110,10
35,245,0,8,1,4,114,8
35,246,0,8,2,5,39,10
35,246,0,8,2,5,49,10
35,246,0,8,2,5,70,10
35,246,0,8,2,5,83,10
35,246,0,8,2,5,84,10
35,246,0,8,2,5,98,10
35,246,0,8,2,5,114,10
35,247,0,8,3,6,36,10
35,247,0,8,3,6,45,10
35,247,0,8,3,6,52,10
35,247,0,8,3,6,53,2
35,247,0,8,3,6,55,5
35,247,0,8,3,6,68,5
35,247,0,8,3,6,72,10
35,247,0,8,3,6,74,10
35,247,0,8,3,6,78,10
35,247,0,8,3,6,103,2
35,247,0,8,3,6,104,2
35,247,0,8,3,6,121,10
36,248,0,8,4,0,40,10
36,248,0,8,4,0,51,10
36,248,0,8,4,0,64,5
36,248,0,8,4,0,94,10
36,248,0,8,4,0,103,10
36,248,0,8,4,0,116,10
36,249,0,8,5,1,35,10
36,249,0,8,5,1,47,10
36,249,0,8,5,1,55,2
36,249,0,8,5,1,56,10
36,249,0,8,5,1,85,10
36,249,0,8,5,1,103,6
36,249,0,8,5,1,103,10
36,250,0,8,6,2,36,10
36,250,0,8,6,2,46,10
36,250,0,8,6,2,60,10
36,250,0,8,6,2,80,10
36,250,0,8,6,2,94,2
36,250,0,8,6,2,95,2
36,250,0,8,6,2,95,10
36,251,0,8,7,3,36,10
36,251,0,8,7,3,47,10
36,251,0,8,7,3,50,2
36,251,0,8,7,3,58,10
36,251,0,8,7,3,60,5
36,251,0,8,7,3,60,8
36,251,0,8,7,3,61,10
36,251,0,8,7,3,73,5
36,251,0,8,7,3,74,10
36,251,0,8,7,3,85,10
36,251,0,8,7,3,103,2
36,251,0,8,7,3,104,2
36,252,0,8,8,4,36,10
36,252,0,8,8,4,46,10
36,252,0,8,8,4,50,2
36,252,0,8,8,4,61,10
36,252,0,8,8,4,94,10
36,252,0,8,8,4,105,10
36,252,0,8,8,4,115,10
36,253,0,8,9,5,39,10
36,253,0,8,9,5,47,10
36,253,0,8,9,5,51,5
36,253,0,8,9,5,51,10
36,253,0,8,9,5,53,2
36,253,0,8,9,5,56,10
36,253,0,8,9,5,57,1
36,253,0,8,9,5,58,1
36,253,0,8,9,5,61,10
36,253,0,8,9,5,69,10
36,253,0,8,9,5,88,10
36,253,0,8,9,5,107,10
36,253,0,8,9,5,108,6
36,253,0,8,9,5,111,10
36,253,0,8,9,5,113,8
36,253,0,8,9,5,115,8
36,254,0,8,10,6,41,10
36,254,0,8,10,6,50,10
36,254,0,8,10,6,54,5
36,254,0,8,10,6,55,5
36,254,0,8,10,6,56,6
36,254,0,8,10,6,56,10
36,254,0,8,10,6,59,5
36,254,0,8,10,6,62,8
36,254,0,8,10,6,63,10
36,254,0,8,10,6,72,10
36,254,0,8,10,6,91,10
36,254,0,8,10,6,112,10
37,255,0,8,11,0,30,10
37,255,0,8,11,0,43,10
37,255,0,8,11,0,48,10
37,255,0,8,11,0,56,10
37,255,0,8,11,0,70,10
37,255,0,8,11,0,77,10
37,255,0,8,11,0,89,10
37,255,0,8,11,0,109,10
37,255,0,8,11,0,115,8
37,256,0,8,12,1,37,10
37,256,0,8,12,1,45,10
37,256,0,8,12,1,69,10
37,256,0,8,12,1,85,10
37,256,0,8,12,1,93,10
37,256,0,8,12,1,111,2
37,256,0,8,12,1,111,10
37,256,0,8,12,1,112,2
37,256,0,8,12,1,122,10
37,256,0,8,12,1,124,8
37,256,0,8,12,1,125,8
37,257,0,8,13,2,36,10
37,257,0,8,13,2,43,10
37,257,0,8,13,2,45,10
37,257,0,8,13,2,58,10
37,257,0,8,13,2,69,10
37,257,0,8,13,2,70,9
37,257,0,8,13,2,85,10
37,257,0,8,13,2,90,10
37,257,0,8,13,2,91,10
37,257,0,8,13,2,96,10
37,257,0,8,13,2,104,10
37,257,0,8,13,2,108,10
37,257,0,8,13,2,124,10
37,258,0,8,14,3,42,10
37,258,0,8,14,3,51,5
37,258,0,8,14,3,52,10
37,258,0,8,14,3,89,2
37,258,0,8,14,3,90,10
37,258,0,8,14,3,110,10
37,259,0,8,15,4,38,10
37,259,0,8,15,4,41,10
37,259,0,8,15,4,48,5
37,259,0,8,15,4,49,10
37,259,0,8,15,4,60,10
37,259,0,8,15,4,67,10
37,259,0,8,15,4,78,10
37,259,0,8,15,4,95,2
37,259,0,8,15,4,96,2
37,259,0,8,15,4,109,10
37,260,0,8,16,5,29,10
37,260,0,8,16,5,41,10
37,260,0,8,16,5,44,2
37,260,0,8,16,5,83,9
37,260,0,8,16,5,102,2
37,260,0,8,16,5,103,2
37,260,0,8,16,5,113,10
37,261,0,8,17,6,37,10
37,261,0,8,17,6,44,10
37,261,0,8,17,6,55,2
37,261,0,8,17,6,56,10
37,261,0,8,17,6,60,5
37,261,0,8,17,6,71,10
37,261,0,8,17,6,79,10
37,261,0,8,17,6,94,6
37,261,0,8,17,6,94,9
37,261,0,8,17,6,109,10
38,262,0,8,18,0,40,10
38,262,0,8,18,0,47,10
38,262,0,8,18,0,49,2
38,262,0,8,18,0,70,10
38,262,0,8,18,0,101,10
38,262,0,8,18,0,104,2
38,262,0,8,18,0,105,2
38,262,0,8,18,0,107,10
38,262,0,8,18,0,124,10
38,263,0,8,19,1,45,10
